"country name(click for destination guides)","capital city","map(click to view map)"
"gabon","libreville","clickfor map"
"gambiathe","banjul","clickfor map"
"georgia","t'bilisi","clickfor map"
"germany","berlin","clickfor map"
"ghana","accra","clickfor map"
"gibraltar","gibraltar","clickfor map"
"gloriosoislands","none","clickfor map"
"greece","athens","clickfor map"
"greenland","nuuk (godthab)","clickfor map"
"grenada","saint george's","clickfor map"
"guadeloupe","basse-terre","clickfor map"
"guam","hagatna (agana)","clickfor map"
"guatemala","guatemala","clickfor map"
"guernsey","saint peter port","clickfor map"
"guinea","conakry","clickfor map"
"guineabissau","bissau","clickfor map"
"guyana","georgetown","clickfor map"
